UNIVERSITY,ENDOWMENT_NAME,STATE_PROVINCE,ENDOWMENT_2015,ENDOWMENT_2014,MARKET_VALUE_CHANGE,ENDOWMENT_2015_OVERRIDE
"South Dakota State University","South Dakota State University","SD",104903,102918,1.9,
"Southeastern University","Southeastern University","FL",8946,8161,9.6,
"Southern Connecticut State University","Southern Connecticut State University Foundation, Inc.","CT",20270,19283,5.1,
"Southern Illinois University","Southern Illinois University Foundation","IL",122351,124801,-2,
"Southern Illinois University--Edwardsville","Southern Illinois University Edwardsville Foundation","IL",20447,20853,-1.9,20447
"Southern Methodist University","Southern Methodist University","TX",1505296,1466258,2.7,
"Southern Virginia University","Southern Virginia University","VA",1141,894,27.7,
"Southern Wesleyan University","Southern Wesleyan University","SC",4845,4458,8.7,
"Southwestern University","Southwestern University","TX",255955,265591,-3.6,
"Spalding University","Spalding University","KY",16727,15276,9.5,
"Spartanburg Methodist College","Spartanburg Methodist College","SC",21393,21259,0.6,
"Spelman College","Spelman College","GA",362986,367037,-1.1,
"Spring Arbor University","Spring Arbor University","MI",13725,13304,3.2,
"Spring Hill College","Spring Hill College","AL",24189,23766,1.8,
"Springfield College","Springfield College","MA",62440,63964,-2.4,
"St. Ambrose University","St. Ambrose University","IA",134317,132298,1.5,
"St. Bonaventure University","St. Bonaventure University","NY",60297,60151,0.2,
"St. Edward's University","St. Edward's University","TX",92856,92856,-0.5,
"St. Francis College","St. Francis College","NY",74618,77536,-3.8,
"St. Francis Xavier University","St. Francis Xavier University","NS",88040,112971,-22.1,
"St. John's College-Annapolis, MD and Santa Fe, NM","St. John's College-Annapolis, MD and Santa Fe, NM","MD",157295,150952,4.2,
"St. John's University","St. John's University","NY",685942,644643,6.4,
"St. Lawrence University","St. Lawrence University","NY",282086,283876,-0.6,
"St. Louis College of Pharmacy","St. Louis College of Pharmacy","MO",150652,147935,1.8,
"St. Mary's College of Maryland","St. Mary's College of Maryland Foundation Inc.","MD",30363,30577,-0.7,
"St. Mary's College of San Antonio","St. Mary's College of San Antonio","TX",182997,174530,4.9,
"St. Norbert College","St. Norbert College","WI",104746,97610,7.3,
"St. Olaf College","St. Olaf College","MN",448489,446809,0.4,
"St. Peter's University","St. Peter's University","NJ",31000,31053,-0.2,
"St. Thomas University","St. Thomas University","FL",24934,22615,10.3,
"Stanford University","Stanford University","CA",22222957,21446006,3.6,
"State University College at Oneonta","State University College at Oneonta Foundation","NY",49607,48779,1.7,
"Stephens College","Stephens College","MO",47343,46800,1.2,
"Stetson University","Stetson University, Inc.","FL",208878,207832,0.5,
"Stevens Institute of Technology","Stevens Institute of Technology","NJ",165152,165973,-0.3,
"Stonehill College","Stonehill College, Inc.","MA",188639,190987,-1.2,
"Stony Brook University-SUNY","SUNY, Stony Brook Foundation","NY",247397,214446,15.4,247397
"Suffolk University","Suffolk University","MA",185813,194540,-4.5,
"Susquehanna University","Susquehanna University","PA",147176,150064,-1.9,
"Swarthmore College","Swarthmore College","PA",1845799,1876669,-1.6,
"Syracuse University","Syracuse University","NY",1166109,1183244,-1.4,
"Taylor University","Taylor University","IN",84128,86226,-2.4,
"Teachers College, Columbia University","Teachers College, Columbia University","NY",274521,274020,0.2,
"Temple University","Temple University","PA",386230,374758,3.1,
"Tennessee State University","Tennessee State University Foundation","TN",51416,50492,1.8,51416
"Tennessee Tech University","Tennessee Tech University","TN",71976,71772,0.3,
"Texas A&M University-College Station","The Texas A&M University System and Foundations","TX",10477102,11103880,-5.6,469000
"Texas Christian University","Texas Christian University","TX",1514296,1442518,5,
"Texas College","Texas College","TX",3015,2712,11.2,
"Texas Lutheran University","Texas Lutheran University","TX",89986,89986,-2.8,
"Texas Southern University","Texas Southern University","TX",48684,46577,4.5,
"Texas State University","Texas State University","TX",164333,161264,1.9,
"Texas Tech University","Texas Tech University System","TX",1178300,1195363,-1.4,661235
"Texas Woman's University","Texas Woman's University","TX",43819,,,
"Thomas College","Thomas College","ME",14462,13829,4.6,
"Transylvania University","Transylvania University","KY",167550,169015,-0.9,
"Tri-County Technical College","Tri-County Technical College Foundation, Inc.","SC",21764,19820,9.8,
"Trinity College","Trinity College","ON",71566,78364,-8.7,
"Trinity College","Trinity College","CT",562182,542789,3.6,
"Trinity University","Trinity University","TX",1185370,1180030,0.5,
"Trinity Western University","Trinity Western University","BC",14112,14844,-4.9,
"Troy University Foundation","Troy University Foundation","AL",85533,,,
"Tufts University","Tufts University","MA",1593019,1590045,0.2,
"Tulane University","Tulane University","LA",1220464,1183924,3.1,
"Union College","Union College","NY",436317,410762,6.2,
"University System of Maryland","The University System of Maryland Foundation, Inc.","MD",986248,955856,3.2,
"University at Albany Foundation","University at Albany Foundation","NY",54810,49522,10.7,
"University at Buffalo","University at Buffalo Foundation","NY",619296,624791,-0.9,
"University of  Mary Washington","University of  Mary Washington","VA",45668,46389,-1.6,
"University of Akron","The University of Akron & Foundation","OH",198330,211787,-6.4,198330
"University of Alabama","University of Alabama System","AL",1238954,1234824,0.3,
"University of Alaska","University of Alaska Foundation","AK",310616,320306,-3,
"University of Alberta","University of Alberta","AB",935500,955287,-2.1,
"University of Arizona","University of Arizona & Foundation","AZ",767940,760679,1,767940
"University of Arkansas--Fayetteville","University of Arkansas, Fayetteville","AR",948679,929693,2,
"University of Arkansas--Fort Smith","University of Arkansas Fort Smith Foundation, Inc.","AR",69870,69936,-0.1,
"University of Baltimore","University of Baltimore Foundation","MD",44215,42731,3.5,
"University of British Columbia","University of British Columbia","BC",1167044,1263632,-7.6,
"University of California--Berkeley","University of California","CA",7997099,7384410,8.3,
"University of California--Davis","The University of California Davis Foundation","CA",335632,313876,6.9,335632
"University of California--Irvine","University of California, Irvine Foundation","CA",512904,387157,32.5,512904
"University of California--Los Angeles","The UCLA Foundation","CA",1864605,1732784,7.6,1864605
"University of California--Riverside","UC Riverside Foundation","CA",132635,131880,0.6,132635
"University of California--San Diego","UC San Diego Foundation","CA",548317,512985,6.9,
"University of California--San Francisco","University of California, San Francisco Foundation","CA",1160627,943804,23,
"University of California--Santa Barbara","UC Santa Barbara","CA",265930,257987,3.1,
"University of Central Florida","The University of Central Florida","FL",150627,154595,-2.6,
"University of Central Missouri","University of Central Missouri Foundation","MO",39342,36960,6.4,
"University of Central Oklahoma","University of Central Oklahoma Foundation","OK",28478,32872,-13.4,
"University of Chattanooga","University of Chattanooga Foundation, Inc.","TN",118596,112967,5,
"University of Chicago","The University of Chicago","IL",7549710,7545544,0.1,
"University of Cincinnati","University of Cincinnati","OH",1195899,1183922,1,
"University of Colorado--Boulder","University of Colorado Foundation","CO",1090297,1063089,2.6,525828
"University of Connecticut","University of Connecticut & Foundations","CT",383149,384761,-0.4,383149
"University of Dayton","University of Dayton","OH",500407,510107,-1.9,
"University of Delaware","University of Delaware","DE",1341373,1310133,2.4,
"University of Denver--Colorado Seminary","University of Denver (Colorado Seminary)","CO",632761,467253,35.4,
"University of Dubuque","University of Dubuque","IA",102200,83091,23,
"University of Evansville","University of Evansville","IN",84919,90417,-6.1,
"University of Florida Foundation, Inc.","University of Florida Foundation, Inc.","FL",1555703,1519522,2.4,
"University of Georgia","The University of Georgia and Related Foundations","GA",1004987,975890,3,1004987
"University of Hartford","University of Hartford","CT",148917,146113,1.9,
"University of Hawaii","University of Hawaii Foundation","HI",280210,272280,2.9,
"University of Houston","University of Houston System & Foundations","TX",794556,789700,0.6,794556
"University of Idaho","University of Idaho Foundation, Inc.","ID",239603,240980,-0.6,239603
"University of Illinois--Urbana--Champaign","University of Illinois & Foundation","IL",2388469,2277932,4.9,1585807
"University of Indianapolis","University of Indianapolis","IN",93192,93192,0.1,
"University of Iowa","University of Iowa & Foundation","IA",1263043,1251356,0.9,1263043
"University of Jamestown","University of Jamestown","ND",34302,35221,-2.6,
"University of Kentucky","University of Kentucky","KY",1142722,1136833,0.5,
"University of La Verne","University of La Verne","CA",68803,63244,8.8,
"University of Louisville","University of Louisville Foundation","KY",844288,876825,-3.7,844288
"University of Maine","University of Maine Foundation","ME",185613,189151,-1.9,185613
"University of Mary","University of Mary","ND",43864,36866,19,
"University of Maryland--College Park","University of Maryland College Park Foundation, Inc.","MD",283123,273089,3.7,283123
"University of Massachusetts","University of Massachusetts Foundation","MA",770222,757473,1.7,
"University of Memphis","The University of Memphis","TN",199443,200750,-0.7,
"University of Miami","University of Miami","FL",887329,865435,2.5,
"University of Michigan-Ann Arbor","University of Michigan","MI",9952113,9731460,2.3,
"University of Minnesota-Twin Cities","University of Minnesota & Foundations","MN",3297460,3176456,3.8,176900
"University of Mississippi","University of Mississippi Foundation","MS",606387,594738,2,606387
"University of Missouri ","University of Missouri System","MO",1476959,1440561,2.5,
"University of Montana","University of Montana Foundation","MT",172756,176935,-2.4,172756
"University of Mount Union","University of Mount Union","OH",134636,135612,-0.7,
"University of Nebraska","University of Nebraska","NE",1538071,1547256,-0.6,
"University of Nevada--Las Vegas","UNLV Foundation","NV",238300,227936,4.5,238300
"University of Nevada--Reno","University of Nevada, Reno and Related Foundations","NV",306587,295334,3.8,306587
"University of New Brunswick","University of New Brunswick","NB",206205,222570,-7.4,
"University of New Hampshire","University System of New Hampshire & Foundations","NH",676268,661660,2.2,346926
"University of New Mexico","University of New Mexico Foundation","NM",403670,412772,-2.2,403670
"University of North Carolina School of the Arts","University of North Carolina School of the Arts","NC",18623,17781,4.7,
"University of North Carolina--Asheville","The University of North Carolina at Asheville","NC",40082,37216,7.7,
"University of North Carolina--Charlotte","University of North Carolina at Charlotte","NC",179380,168855,6.2,
"University of North Carolina--Greensboro","UNC at Greensboro Investment Fund, Inc.","NC",248591,251756,-1.3,
"University of North Carolina--Wilmington","University of North Carolina Wilmington","NC",88118,85285,3.3,
"University of North Carolina-Chapel Hill","University of North Carolina at Chapel Hill & Foundations","NC",2988806,2695663,10.9,2988806
"University of North Dakota","University of North Dakota Foundation","ND",230,226800,1.7,14251
"University of North Florida","University of North Florida Foundation, Inc.","FL",98307,94884,3.6,98307
"University of Northern British Columbia","University of Northern British Columbia","BC",58657,63134,-7.1,
"University of Northern Colorado","University of Northern Colorado Foundation, Inc.","CO",81492,82448,-1.2,
"University of Northern Iowa","University of Northern Iowa Foundation","IA",109151,102771,6.2,109151
"University of Notre Dame","University of Notre Dame","IN",8566952,8039756,6.6,
"University of Oklahoma","University of Oklahoma","OK",1523024,1493466,2,
"University of Oregon","University of Oregon Foundation","OR",719111,627004,14.7,719111
"University of Ottawa","University of Ottawa","ON",204792,221392,-7.5,
"University of Pennsylvania","University of Pennsylvania","PA",10133569,9582335,5.8,
"University of Pittsburgh","University of Pittsburgh","PA",3588775,3492839,2.7,
"University of Pittsburgh--Bradford","Bradford Education Foundation University of Pittsburgh at Bradford","PA",22713,23287,-2.5,
"University of Puget Sound","The University of Puget Sound","WA",321676,318501,1,
"University of Redlands","University of Redlands","CA",125701,127522,-1.4,
"University of Rhode Island","University of Rhode Island Foundation","RI",131655,132234,-0.4,131655
"University of Richmond","University of Richmond","VA",2371810,2313305,2.5,
"University of Rio Grande","University of Rio Grande","OH",23294,23551,-1.1,
"University of Rochester","University of Rochester","NY",2050199,2015283,1.7,
"University of Saint Joseph","University of Saint Joseph","CT",26505,25512,3.9,
"University of San Diego","University of San Diego","CA",469984,468766,0.3,
"University of San Francisco","University of San Francisco","CA",314337,237324,32.5,
"University of Scranton","University of Scranton","PA",170075,162453,4.7,
"University of South Alabama","University of South Alabama","AL",167226,174138,-4,
"University of South Alabama","University of South Alabama Foundation","AL",362492,323136,12.2,
"University of South Carolina","University of South Carolina & Affiliated Foundations","SC",625186,596379,4.8,625186
"University of South Dakota","University of South Dakota Foundation","SD",213562,206980,3.2,213562
"University of South Florida","University of South Florida Foundation","FL",417415,417335,0,417415
"University of Southern California","University of Southern California","CA",4709511,4593014,2.5,
"University of Southern Mississippi","The University of Southern Mississippi Foundation","MS",82873,78673,5.3,82873
"University of St. Francis","University of St. Francis","IL",17078,15419,10.8,
"University of St. Thomas","University of St. Thomas","MN",456494,458149,-0.4,
"University of St. Thomas","University of St. Thomas","TX",84891,86159,-1.5,
"University of Tennessee","The University of Tennessee","TN",1106924,1072000,3.3,
"University of Texas-Austin","The University of Texas System","TX",24083150,25425922,-5.3,3341835
"University of Toledo","The University of Toledo & Foundation","OH",422249,416153,1.5,422249
"University of Toronto","University of Toronto","ON",1726051,1820631,-5.2,
"University of Tulsa","The University of Tulsa","OK",1037169,1015474,2.1,
"University of Utah","The University of Utah","UT",1023044,844761,21.1,
"University of Victoria","University of Victoria Foundation","BC",311224,343021,-9.3,
"University of Virginia","University of Virginia","VA",6180515,5945952,3.9,
"University of Washington","University of Washington","WA",3076226,2832753,8.6,
"University of West Florida","The University of West Florida Foundation, Inc.","FL",61192,61824,-1,
"University of Western Ontario","The University of Western Ontario","ON",453803,481245,-5.7,
"University of Wisconsin","University of Wisconsin System","WI",385516,396947,-2.9,
"University of Wisconsin--Eau Claire","University of Wisconsin-Eau Claire Foundation, Inc.","WI",67588,62103,8.8,
"University of Wisconsin--Madison","University of Wisconsin Foundation","WI",2465051,2332185,5.7,2465051
"University of Wyoming","University of Wyoming","WY",36196,35216,2.8,
"University of Wyoming","University of Wyoming Foundation","WY",445273,419889,6,445273
"University of the Incarnate Word","University of the Incarnate Word","TX",125271,120464,4,
"University of the Ozarks","University of the Ozarks","AR",98341,100536,-2.2,
"University of the Pacific","University of the Pacific","CA",385014,386440,-0.4,
"University of the South","The University of the South","TN",377822,374302,0.9,
"University of the Virgin Islands","Foundation for the University of the Virgin Islands","VI",34274,37645,-9,
"Ursinus College","Ursinus College","PA",131430,130175,1,
"Utah State University","Utah State University","UT",314688,282465,11.4,
"Utica College","Utica College","NY",22946,23612,-2.8,
"Valencia College","Valencia College Foundation","FL",64281,64093,0.3,
"Valparaiso University","Valparaiso University","IN",204314,202737,0.8,
"Vanderbilt University","Vanderbilt University","TN",4133542,4086040,1.2,
"Vassar College","Vassar College","NY",982974,974180,0.9,
"Vaughn College of Aeronautics and Technology","Vaughn College of Aeronautics and Technology","NY",21449,21926,-2.2,
"Victoria University of the University of Toronto","Victoria University of the University of Toronto","ON",127780,136269,-6.2,
"Villanova University","Villanova University","PA",553859,510785,8.4,
"Virginia Commonwealth University","Virginia Commonwealth University","VA",1638147,1509431,8.5,
"Virginia Military Institute","VMI Foundation, Inc.","VA",430742,413409,4.2,393621
"Virginia State University","Virginia State University","VA",33902,32198,5.3,
"Virginia State University Foundation","Virginia State University Foundation","VA",13530,12947,4.5,
"Virginia Tech","Virginia Tech Foundation","VA",817759,796437,2.7,817759
"Virginia Wesleyan University","Virginia Wesleyan University","VA",57361,57713,-0.6,
"Viterbo University","Viterbo University, Inc.","WI",45055,41947,7.4,
"Wabash College","Wabash College","IN",354914,371230,-4.4,
"Wagner College","Wagner College","NY",80423,82141,-2.1,
"Wake Forest University","Wake Forest University","NC",1167400,1148026,1.7,
"Walla Walla University","Walla Walla University","WA",22790,22402,1.7,
"Warner Pacific College","Warner Pacific College","OR",10133,10020,1.1,
"Warren Wilson College","Warren Wilson College","NC",54899,53805,2,
"Washburn University","Washburn University Foundation","KS",156486,163847,-4.5,
"Washington College","Washington College","MD",200319,201842,-0.8,
"Washington State University","Washington State University","WA",885777,868091,2,
"Washington University in St. Louis","Washington University in St. Louis","MO",6818748,6643379,2.6,
"Washington and Jefferson University","Washington and Jefferson University","PA",130361,128908,1.1,
"Washington and Lee University","Washington and Lee University","VA",1471274,1476923,-0.4,
"Wayne State University","Wayne State University","MI",306319,311337,-1.6,
"Weber State University","Weber State University","UT",114826,110819,3.6,
"Weber State University","Weber State University Foundation","UT",11140,11696,-4.8,
"Webster University","Webster University","MO",126484,128572,-1.6,
"Wellesley College","Wellesley College","MA",1853503,1807948,2.5,
"Wentworth Institute of Technology","Wentworth Institute of Technology","MA",89740,81746,9.8,
"Wesleyan University","Wesleyan University","CT",810018,768219,5.4,
"West Chester University of Pennsylvania","West Chester University of Pennsylvania","PA",21573,21195,1.8,
"West Point Association of Graduates","West Point Association of Graduates","NY",198524,184055,7.9,
"West Virginia University","West Virginia University Foundation","WV",533599,533627,0,533599
"Western Carolina University","Western Carolina University","NC",67831,64333,5.4,
"Western Illinois University","Western Illinois University Foundation","IL",42469,42668,-0.5,42469
"Western Kentucky University","Western Kentucky University & Foundation","KY",140534,135083,4,15843
"Western Michigan University","Western Michigan University Foundation","MI",330052,319997,3.1,330052
"Western New England University","Western New England University","MA",49692,49273,0.9,
"Western University of Health Sciences","Western University of Health Sciences","CA",23939,14390,66.4,
"Westminster College","Westminster College","PA",114749,113953,0.7,
"Westminster College","Westminster College","UT",73491,72525,1.3,
"Westmont College","Westmont College","CA",82838,84369,-1.8,
"Wheaton College","Wheaton College","IL",409613,405027,1.1,
"Wheaton College","Wheaton College","MA",194729,193545,0.6,
"Wheelock College","Wheelock College","MA",57095,57540,-0.8,
"Whitehead Institute for Biomedical Research","Whitehead Institute for Biomedical Research","MA",470284,478120,-1.6,
"Whitman College","Whitman College","WA",514676,504524,2,
"Whittier College","Whittier College","CA",97284,99829,-2.5,
"Whitworth University","Whitworth University","WA",129432,125935,2.8,
"Wichita State University","Wichita State University Foundation","KS",235554,237002,-0.6,
"Widener University","Widener University","PA",87087,90004,-3.2,
"Wilkes University","Wilkes University","PA",49966,51920,-3.8,
"Willamette University","Willamette University","OR",242050,234109,3.4,
"William Mitchell College of Law","William Mitchell College of Law","MN",25184,27271,-7.7,
"William Peace University","William Peace University","NC",36286,37887,-4.2,
"Williams College","Williams College","MA",2395100,2253330,6.3,
"Wilson College","Wilson College","PA",67459,71902,-6.2,
"Winston-Salem State University","Winston-Salem State University & Foundation","NC",37219,34308,8.5,
"Winthrop University","Winthrop University Foundation","SC",43072,40016,7.6,43072
"Wisconsin Lutheran College","Wisconsin Lutheran College, Inc.","WI",28930,26481,9.3,
"Wittenberg University","Wittenberg University","OH",102092,98918,3.2,
"Wofford College","Wofford College","SC",184708,191831,-3.7,
"Worcester Polytechnic Institute","Worcester Polytechnic Institute","MA",435867,433062,0.6,
"Worcester State","Worcester State Foundation","MA",23077,22998,0.3,
"Wright State University","Wright State University Foundation, Inc.","OH",88661,89571,-1,
"Xavier University","Xavier University","OH",156378,153478,1.9,
"Yale University","Yale University","CT",25572100,23894800,7,
"Yeshiva University","Yeshiva University","NY",1061440,1094558,-3,
"York College of Pennsylvania","York College of Pennsylvania","PA",87681,84215,4.1,
"Youngstown State University","Youngstown State University Foundation","OH",229119,227342,0.8,
