RANK,NAME,LOCATION
353,Luther College,"Decorah, IA"
356,Keene State College,"Keene, NH"
356,University of South Florida,"Tampa, FL"
356,Lebanon Valley College,"Annville, PA"
359,University of San Francisco,"San Francisco, CA"
359,Monmouth University,"West Long Branch, NJ"
361,Saint Joseph's College of Maine,"Standish, ME"
361,Saint Joseph's University,"Philadelphia, PA"
363,East Carolina University,"Greenville, NC"
364,University of North Dakota,"Grand Forks, ND"
364,University of Nebraska--Lincoln,"Lincoln, NE"
366,Misericordia University,"Dallas, PA"
367,Bay Path College,"Longmeadow, MA"
367,Morehouse College,"Atlanta, GA"
369,San Francisco State University,"San Francisco, CA"
369,Montana State University,"Bozeman, MT"
371,Wheaton College-Norton,"Norton, MA"
372,Bellarmine University,"Louisville, KY"
372,Sonoma State University,"Rohnert Park, CA"
372,Western Michigan University,"Kalamazoo, MI"
375,South Carolina State University,"Orangeburg, SC"
376,Loras College,"Dubuque, IA"
376,George Washington University,"Washington, DC"
378,Mount Saint Mary College,"Newburgh, NY"
379,University of North Carolina--Charlotte,"Charlotte, NC"
380,Loyola Marymount University,"Los Angeles, CA"
380,DePaul University,"Chicago, IL"
380,Saint Mary's University of Minnesota,"Winona, MN"
380,SUNY College--Plattsburgh,"Plattsburgh, NY"
384,Merrimack College,"North Andover, MA"
385,George Fox University,"Newberg, OR"
386,Neumann University,"Aston, PA"
387,Washington & Jefferson College,"Washington, PA"
388,University of Rhode Island,"Kingston, RI"
389,University of Dayton,"Dayton, OH"
389,Central College,"Pella, IA"
389,College of Saint Scholastica,"Duluth, MN"
392,California State University--San Bernardino,"San Bernardino, CA"
392,Connecticut College,"New London, CT"
392,Washington College,"Chestertown, MD"
392,Bryn Mawr College,"Bryn Mawr, PA"
396,University of Hawaii--Manoa,"Honolulu, HI"
396,Coe College,"Cedar Rapids, IA"
398,Whitman College,"Walla Walla, WA"
399,University of Mount Olive,"Mount Olive, NC"
399,University of North Carolina--Asheville,"Asheville, NC"
401,Rose-Hulman Institute of Technology,"Terre Haute, IN"
401,Saint John Fisher College,"Rochester, NY"
401,Massachusetts College of Liberal Arts,"North Adams, MA"
404,Scripps College,"Claremont, CA"
404,SUNY--Cortland,"Cortland, NY"
406,Richard Stockton College of New Jersey,"Galloway, NJ"
406,University of Illinois--Springfield,"Springfield, IL"
408,Allegheny College,"Meadville, PA"
408,CUNY--Hunter College,"New York, NY"
408,University of Central Florida,"Orlando, FL"
408,Nazareth College,"Rochester, NY"
412,Willamette University,"Salem, OR"
413,Graceland University--Lamoni,"Lamoni, IA"
413,Sam Houston State University,"Huntsville, TX"
413,Central Washington University,"Ellensburg, WA"
416,University of Kentucky,"Lexington, KY"
416,University of North Carolina--Wilmington,"Wilmington, NC"
416,Wheeling Jesuit University,"Wheeling, WV"
416,South Dakota State University,"Brookings, SD"
420,Longwood University,"Farmville, VA"
420,Quinnipiac University,"Hamden, CT"
422,University of Denver,"Denver, CO"
422,Westminster College--Salt Lake City,"Salt Lake City, UT"
424,Western Illinois University,"Macomb, IL"
425,Transylvania University,"Lexington, KY"
426,SUNY College of Technology--Alfred,"Alfred, NY"
426,University of Missouri--Columbia,"Columbia, MO"
428,University of Wisconsin--Stout,"Menomonie, WI"
428,Winona State University,"Winona, MN"
428,Canisius College,"Buffalo, NY"
431,St. Bonaventure University,"Saint Bonaventure, NY"
432,Monmouth College,"Monmouth, IL"
433,Alma College,"Alma, MI"
434,St. Francis College,"Brooklyn Heights, NY"
435,Rhodes College,"Memphis, TN"
435,Salisbury University,"Salisbury, MD"
435,Marietta College,"Marietta, OH"
435,Grand Valley State University,"Allendale, MI"
439,Millikin University,"Decatur, IL"
439,Holy Names University,"Oakland, CA"
441,Adelphi University,"Garden City, NY"
441,Texas State University--San Marcos,"San Marcos, TX"
443,West Virginia University,"Morgantown, WV"
443,Wentworth Institute of Technology,"Boston, MA"
445,Elon University,"Elon, NC"
445,University of Wisconsin--River Falls,"River Falls, WI"
445,College of Idaho,"Caldwell, ID"
445,CUNY--Queens College,"Flushing, NY"
445,Rollins College,"Winter Park, FL"
450,Baldwin Wallace University,"Berea, OH"
451,Ithaca College,"Ithaca, NY"
452,Southern Methodist University,"Dallas, TX"
452,California Lutheran University,"Thousand Oaks, CA"
454,Catholic University of America,"Washington, DC"
454,Otis College of Art and Design,"Los Angeles, CA"
454,University of the Pacific,"Stockton, CA"
454,Piedmont College,"Demorest, GA"
458,Samford University,"Birmingham, AL"
459,University of Wisconsin--Oshkosh,"Oshkosh, WI"
460,Point Loma Nazarene University,"San Diego, CA"
460,Radford University,"Radford, VA"
462,Boston University,"Boston, MA"
463,California State University--Fullerton,"Fullerton, CA"
464,University of South Dakota,"Vermillion, SD"
464,University of Alabama--Birmingham,"Birmingham, AL"
466,Ball State University,"Muncie, IN"
466,Bluefield College,"Bluefield, VA"
468,Ohio Northern University,"Ada, OH"
469,The College of Wooster,"Wooster, OH"
469,University of Arkansas,"Fayetteville, AR"
469,Eastern Mennonite University,"Harrisonburg, VA"
472,Fitchburg State University,"Fitchburg, MA"
472,Saint Edward's University,"Austin, TX"
472,West Chester University of Pennsylvania,"West Chester, PA"
475,Concordia University-Seward,"Seward, NE"
476,Central Connecticut State University,"New Britain, CT"
477,Texas A&M University--Commerce,"Commerce, TX"
478,CUNY--Brooklyn College,"Brooklyn, NY"
479,Millersville University of Pennsylvania,"Millersville, PA"
479,Rochester Institute of Technology,"Rochester, NY"
481,Pittsburg State University,"Pittsburg, KS"
481,Drexel University,"Philadelphia, PA"
483,Dominican University,"River Forest, IL"
483,Biola University,"La Mirada, CA"
483,Wartburg College,"Waverly, IA"
486,University of San Diego,"San Diego, CA"
486,Massachusetts College of Art and Design,"Boston, MA"
488,Harding University,"Searcy, AR"
488,University of Wisconsin--Whitewater,"Whitewater, WI"
490,Marist College,"Poughkeepsie, NY"
491,University of Miami,"Coral Gables, FL"
492,Old Dominion University,"Norfolk, VA"
492,Rowan University,"Glassboro, NJ"
492,Xavier University,"Cincinnati, OH"
492,California State University--San Marcos,"San Marcos, CA"
496,Azusa Pacific University,"Azusa, CA"
496,Saint Xavier University,"Chicago, IL"
496,St Catherine University,"Saint Paul, MN"
499,Pace University--New York,"New York, NY"
500,Texas Christian University,"Fort Worth, TX"
500,Carlow University,"Pittsburgh, PA"
502,Saint Marys College of California,"Moraga, CA"
502,American University,"Washington, DC"
504,University of Oregon,"Eugene, OR"
505,Geneva College,"Beaver Falls, PA"
505,University of Central Missouri,"Warrensburg, MO"
507,Rider University,"Lawrenceville, NJ"
508,Wagner College,"Staten Island, NY"
508,Franklin College--Franklin,"Franklin, IN"
510,William Jewell College,"Liberty, MO"
511,Shippensburg University of Pennsylvania,"Shippensburg, PA"
511,Dominican University of California,"San Rafael, CA"
513,University of North Carolina--Greensboro,"Greensboro, NC"
514,Hampshire College,"Amherst, MA"
514,Bridgewater State University,"Bridgewater, MA"
514,Northwestern College--Orange City,"Orange City, IA"
514,University of Tulsa,"Tulsa, OK"
514,Hampden-Sydney College,"Hampden-Sydney, VA"
519,Western Carolina University,"Cullowhee, NC"
519,Lakeland College,"Plymouth, WI"
521,Augustana College,"Rock Island, IL"
521,University of Louisiana--Lafayette,"Lafayette, LA"
523,Georgia College & State University,"Milledgeville, GA"
523,Hiram College,"Hiram, OH"
525,Hampton University,"Hampton, VA"
526,Northwestern College--Saint Paul,"Saint Paul, MN"
527,Simpson University,"Redding, CA"
527,Webster University,"Saint Louis, MO"
529,University of Mississippi,"University, MS"
529,SUNY--Oswego,"Oswego, NY"
529,Mount Vernon Nazarene University,"Mount Vernon, OH"
532,Western New England University,"Springfield, MA"
532,East Stroudsburg University of Pennsylvania,"East Stroudsburg, PA"
532,Lycoming College,"Williamsport, PA"
535,Holy Family University,"Philadelphia, PA"
535,Concordia University--Chicago,"River Forest, IL"
535,University of Louisville,"Louisville, KY"
538,Mayville State University,"Mayville, ND"
539,John Brown University,"Siloam Springs, AR"
539,Fordham University,"Bronx, NY"
541,Pacific University,"Forest Grove, OR"
542,Northern Illinois University,"Dekalb, IL"
542,Ohio University,"Athens, OH"
544,Notre Dame de Namur University,"Belmont, CA"
544,Southern Illinois University--Edwardsville,"Edwardsville, IL"
546,Winston-Salem State University,"Winston-Salem, NC"
546,Cornell College,"Mount Vernon, IA"
548,Hood College,"Frederick, MD"
548,Springfield College,"Springfield, MA"
550,Stevenson University,"Stevenson, MD"
551,University of Minnesota--Duluth,"Duluth, MN"
551,University of Puget Sound,"Tacoma, WA"
551,University of New England,"Biddeford, ME"
554,University of North Florida,"Jacksonville, FL"
555,Murray State University,"Murray, KY"
555,University of North Texas,"Denton, TX"
555,Lipscomb University,"Nashville, TN"
558,Loyola University Chicago,"Chicago, IL"
558,University of Montana,"Missoula, MT"
558,Caldwell College,"Caldwell, NJ"
561,La Sierra University,"Riverside, CA"
561,Northwest Missouri State University,"Maryville, MO"
561,Westminster College--Missouri,"Fulton, MO"
564,University of Michigan--Dearborn,"Dearborn, MI"
565,Master's College and Seminary,"Santa Clarita, CA"
565,Baylor University,"Waco, TX"
565,University of Mount Union,"Alliance, OH"
568,SUNY--Purchase College,"Purchase, NY"
568,Elizabethtown College,"Elizabethtown, PA"
570,Manhattanville College,"Purchase, NY"
571,SUNY--Potsdam,"Potsdam, NY"
572,Florida International University,"Miami, FL"
573,Vanguard University of Southern California,"Costa Mesa, CA"
573,Christopher Newport University,"Newport News, VA"
575,University of Wisconsin--Green Bay,"Green Bay, WI"
576,Nyack College,"Nyack, NY"
576,Rhode Island School of Design,"Providence, RI"
578,Hollins University,"Roanoke, VA"
579,Central Michigan University,"Mount Pleasant, MI"
580,Whittier College,"Whittier, CA"
581,Union University,"Jackson, TN"
581,North Central College,"Naperville, IL"
581,Toccoa Falls College,"Toccoa Falls, GA"
584,Benedictine College,"Atchison, KS"
585,Sarah Lawrence College,"Bronxville, NY"
585,Plymouth State University,"Plymouth, NH"
587,Grace College and Theological Seminary,"Winona Lake, IN"
587,Minneapolis College of Art and Design,"Minneapolis, MN"
589,Missouri State University--Springfield,"Springfield, MO"
589,University of La Verne,"La Verne, CA"
591,Immaculata University,"Immaculata, PA"
591,Robert Morris University Illinois,"Chicago, IL"
593,Emerson College,"Boston, MA"
593,Meredith College,"Raleigh, NC"
595,Indiana Wesleyan University,"Marion, IN"
595,Bowling Green State University,"Bowling Green, OH"
597,Concordia College--New York,"Bronxville, NY"
597,Hendrix College,"Conway, AR"
599,Bethune-Cookman University,"Daytona Beach, FL"
600,Ohio Wesleyan University,"Delaware, OH"
601,Tulane University,"New Orleans, LA"
601,University of Nevada--Reno,"Reno, NV"
603,Hofstra University,"Hempstead, NY"
604,Southwestern College,"Winfield, KS"
604,College of Charleston,"Charleston, SC"
606,Albany State University,"Albany, GA"
607,Centenary College,"Hackettstown, NJ"
608,Converse College,"Spartanburg, SC"
608,York College Pennsylvania,"York, PA"
610,University of Cincinnati,"Cincinnati, OH"
610,Worcester State University,"Worcester, MA"
610,Saint Louis University,"Saint Louis, MO"
613,Asbury University,"Wilmore, KY"
614,Mansfield University of Pennsylvania,"Mansfield, PA"
614,Maryville University of Saint Louis,"Saint Louis, MO"
616,University of West Florida,"Pensacola, FL"
616,Bluffton University,"Bluffton, OH"
618,Robert Morris University,"Moon Township, PA"
618,Carroll University,"Waukesha, WI"
620,California Institute of the Arts,"Valencia, CA"
621,Kean University,"Union, NJ"
622,Mercyhurst University,"Erie, PA"
622,Frostburg State University,"Frostburg, MD"
624,University of Southern Mississippi,"Hattiesburg, MS"
624,Queens University of Charlotte,"Charlotte, NC"
626,Le Moyne-Owen College,"Memphis, TN"
626,Wheelock College,"Boston, MA"
628,College of Saint Rose,"Albany, NY"
628,Mount Mary University,"Milwaukee, WI"
628,Millsaps College,"Jackson, MS"
631,Chapman University,"Orange, CA"
632,Anderson University,"Anderson, IN"
632,Bennington College,"Bennington, VT"
634,University of Saint Francis--Fort Wayne,"Fort Wayne, IN"
635,California Baptist University,"Riverside, CA"
635,Georgia Southern University,"Statesboro, GA"
635,Adrian College,"Adrian, MI"
638,Eckerd College,"Saint Petersburg, FL"
638,University of Missouri--Kansas City,"Kansas City, MO"
638,Virginia State University,"Petersburg, VA"
641,Pratt Institute,"Brooklyn, NY"
642,University of Alabama--Tuscaloosa,"Tuscaloosa, AL"
643,Indiana University of Pennsylvania,"Indiana, PA"
644,Northern Arizona University,"Flagstaff, AZ"
645,Endicott College,"Beverly, MA"
646,Bridgewater College,"Bridgewater, VA"
647,Martin Methodist College,"Pulaski, TN"
648,Drury University,"Springfield, MO"
649,Loyola University New Orleans,"New Orleans, LA"
650,Georgia State University,"Atlanta, GA"
650,California University of Pennsylvania,"California, PA"
652,Framingham State University,"Framingham, MA"
653,Concordia University--Wisconsin,"Mequon, WI"
653,Western Kentucky University,"Bowling Green, KY"
655,Cleveland Institute of Art,"Cleveland, OH"
656,Jackson State University,"Jackson, MS"
656,Berry College,"Mount Berry, GA"
658,Southeast Missouri State University,"Cape Girardeau, MO"
659,Goucher College,"Baltimore, MD"
660,Pennsylvania College of Technology,"Williamsport, PA"
661,Grand View University,"Des Moines, IA"
662,Eastern Connecticut State University,"Willimantic, CT"
663,Columbus College of Art and Design,"Columbus, OH"
664,College for Creative Studies,"Detroit, MI"
664,Roanoke College,"Salem, VA"
666,Philadelphia University,"Philadelphia, PA"
667,Northern Michigan University,"Marquette, MI"
668,Kutztown University of Pennsylvania,"Kutztown, PA"
669,William Paterson University of New Jersey,"Wayne, NJ"
670,University of the Arts,"Philadelphia, PA"
671,Virginia Commonwealth University,"Richmond, VA"
671,Clarion University of Pennsylvania,"Clarion, PA"
673,Emmanuel College--Boston,"Boston, MA"
674,Florida Southern College,"Lakeland, FL"
675,Stetson University,"DeLand, FL"
675,Belmont University,"Nashville, TN"
677,King's College,"Wilkes-Barre, PA"
678,Ringling College of Art and Design,"Sarasota, FL"
679,Point Park University,"Pittsburgh, PA"
679,Alcorn State University,"Alcorn State, MS"
681,Guilford College,"Greensboro, NC"
681,Maryland Institute College of Art,"Baltimore, MD"
683,Lasell College,"Newton, MA"
684,Seton Hill University,"Greensburg, PA"
685,Edinboro University of Pennsylvania,"Edinboro, PA"
685,SUNY College of Agriculture and Technology at Cobleskill,"Cobleskill, NY"
687,Roger Williams University,"Bristol, RI"
688,New School,"New York, NY"
689,Bennett College,"Greensboro, NC"
690,University of Dubuque,"Dubuque, IA"
691,Arizona Christian University,"Phoenix, AZ"
692,Arcadia University,"Glenside, PA"
693,University of Valley Forge,"Phoenixville, PA"
693,Carthage College,"Kenosha, WI"
695,Winthrop University,"Rock Hill, SC"
696,Lindsey Wilson College,"Columbia, KY"
697,Kent State University,"Kent, OH"
698,Hope International University,"Fullerton, CA"
699,University of Tampa,"Tampa, FL"
700,North Carolina Central University,"Durham, NC"
701,Claflin University,"Orangeburg, SC"
702,Savannah College of Art and Design,"Savannah, GA"
703,High Point University,"High Point, NC"
704,Oakwood University,"Huntsville, AL"
705,Miles College,"Fairfield, AL"
